"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
137,"Pedagogia (Licenciatura)",50.2,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
138,"Pedagogia (Licenciatura)",74.5,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
140,"Pedagogia (Licenciatura)",48.3,"4","De tres a cinco","Trabalho 40 horas semanais ou mais"
141,"Pedagogia (Licenciatura)",69.6,"5","De seis a oito","Trabalho 40 horas semanais ou mais"
143,"Pedagogia (Licenciatura)",58.4,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
146,"Pedagogia (Licenciatura)",46,"3","De tres a cinco","Trabalho ate 20 horas semanais"
147,"Pedagogia (Licenciatura)",35.6,"5","De seis a oito","Trabalho 40 horas semanais ou mais"
152,"Pedagogia (Licenciatura)",65.7,"3","De seis a oito","Trabalho 40 horas semanais ou mais"
153,"Pedagogia (Licenciatura)",58.5,"6","Nenhum","Trabalho 40 horas semanais ou mais"
155,"Pedagogia (Licenciatura)",45,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
159,"Pedagogia (Licenciatura)",30.6,"5","De tres a cinco","Trabalho ate 20 horas semanais"
162,"Pedagogia (Licenciatura)",52.1,"5","Um ou Dois","Trabalho de 21 a 31 horas semanais"
163,"Pedagogia (Licenciatura)",46.5,"4","Um ou Dois","Trabalho 40 horas semanais ou mais"
166,"Pedagogia (Licenciatura)",23.4,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
170,"Pedagogia (Licenciatura)",48.2,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
172,"Pedagogia (Licenciatura)",29.5,"3","De tres a cinco","Trabalho 40 horas semanais ou mais"
173,"Pedagogia (Licenciatura)",50.2,"6","De tres a cinco","Trabalho ate 20 horas semanais"
175,"Pedagogia (Licenciatura)",70,"4","De seis a oito","Trabalho ate 20 horas semanais"
176,"Pedagogia (Licenciatura)",48.9,"3","De tres a cinco","Trabalho 40 horas semanais ou mais"
177,"Pedagogia (Licenciatura)",65.7,"3","Mais de oito","Trabalho de 21 a 31 horas semanais"
178,"Pedagogia (Licenciatura)",35.2,"5","De tres a cinco","Trabalho Eventualmente"
179,"Pedagogia (Licenciatura)",44.3,"5","Nenhum","Trabalho Eventualmente"
180,"Pedagogia (Licenciatura)",69.6,"6","De tres a cinco","Trabalho ate 20 horas semanais"
182,"Pedagogia (Licenciatura)",33.4,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
184,"Pedagogia (Licenciatura)",45.6,"3","Mais de oito","Trabalho ate 20 horas semanais"
187,"Pedagogia (Licenciatura)",49.6,"2","De tres a cinco","Trabalho de 21 a 31 horas semanais"
189,"Pedagogia (Licenciatura)",32.6,"3","De tres a cinco","Trabalho de 21 a 31 horas semanais"
190,"Pedagogia (Licenciatura)",22.6,"4","Um ou Dois","Trabalho 40 horas semanais ou mais"
195,"Pedagogia (Licenciatura)",34,"6","De seis a oito","Trabalho 40 horas semanais ou mais"
197,"Pedagogia (Licenciatura)",47.3,"6","Um ou Dois","Trabalho ate 20 horas semanais"
199,"Pedagogia (Licenciatura)",59.2,"5","Um ou Dois","Trabalho de 21 a 31 horas semanais"
204,"Pedagogia (Licenciatura)",40.3,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
205,"Ciencias Sociais (Licenciatura)",39.6,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
208,"Ciencias Sociais (Licenciatura)",55.2,"3","De seis a oito","Trabalho Eventualmente"
209,"Ciencias Sociais (Licenciatura)",55,"4","Mais de oito","Trabalho ate 20 horas semanais"
